id,firstname,lastname,faction,position,date, url,speech
"1000026","Wolfgang","Kubicki","FDP","Member of Parliament","2017-10-24T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19001.pdf","\n\nHerr Präsident, ich nehme die Wahl an.\n\n({0})"
"1000314","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerzlichen Dank. – Als Nächstes: Niels Annen von der SPD.\n\n({0})"
"1000304","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nVielen Dank. – Als Nächstes hat das Wort für die Fraktion der AfD Herr Dr. Alexander Gauland.\n\n({0})"
"1000306","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nVielen Dank. – Als Nächster für die Fraktion der Freien Demokraten: Alexander Graf Lambsdorff.\n\n({0})"
"1000308","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerzlichen Dank, Herr Graf Lambsdorff. – Bevor ich der nächsten Rednerin das Wort erteile, darf ich eine kurze Vorbemerkung machen. Ich bin neu in diesem Parlament, wie Sie wissen. Sollte ich einen Namen falsch aussprechen, dann ist das der Tatsache geschuldet, dass ich\n\n({0})\n\n– nein, nicht dass ich Norddeutscher bin – trotz meiner Bemühungen es nicht geschafft habe, sämtliche Mitglieder dieses Hohen Hauses in mein Bewusstsein aufzunehmen. Es kann aber auch an der Schrift des Schriftführers liegen.\n\n({1})\n\nBitte weisen Sie mich darauf hin, wenn ich einen Namen falsch ausspreche.\n\nAls Nächstes spricht Frau Sevim Dağdelen.\n\n({2})"
"1000310","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nLiebe Kolleginnen und Kollegen, bevor ich dem nächsten Redner das Wort erteile, möchte ich darauf hinweisen, dass einige Mitglieder dieses Hohen Hauses das Gefühl haben, dass hier fotografiert wird. Ich weise ausdrücklich darauf hin, dass im Plenum Fotografieren nicht erlaubt ist.\n\nNun bitte ich Herrn Nouripour für Bündnis 90/Die Grünen ans Rednerpult."
"1000312","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerzlichen Dank. – Als Nächster: Alexander Radwan für die CDU/CSU-Fraktion.\n\n({0})"
"1000316","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerzlichen Dank. – Als Nächster: Herr Armin-Paul Hampel für die AfD, und es ist seine erste Rede im Deutschen Bundestag.\n\n({0})"
"1000318","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerr Kollege, erlauben Sie mir eine kurze Bemerkung: Das Blinken vor Ihnen ist keine elektrische Störung, sondern verdeutlicht den stillen Wunsch des Präsidenten, dass Sie mit Ihrer Rede zum Ende kommen.\n\n({0})"
"1000320","Wolfgang","Kubicki","not found","Presidium of Parliament","2017-11-22T00:00:00.000Z","https://dip21.bundestag.de/dip21/btp/19/19003.pdf","\n\nHerr Kollege, das war Ihr letzter Satz. Kommen Sie bitte zum Ende."
